,SPXdaily
1928-08-30,0.0014567130165988134
1928-08-31,0.012536325582274228
1928-09-04,0.004780028221878827
1928-09-05,0.00475743058944234
1928-09-06,-0.006188974618216162
1928-09-07,0.007137741292801724
1928-09-10,-0.008093355293961017
1928-09-11,0.007619084476439358
1928-09-12,0.0037878833169371563
1928-09-13,-0.0009456738516978411
1928-09-14,0.0
1928-09-17,0.008947599344858354
1928-09-18,-0.007057192309998751
1928-09-19,0.0
1928-09-20,0.0018867458872221545
1928-09-21,0.006575974847989824
1928-09-24,0.0032717485770133166
1928-09-25,-0.0009337068838942209
1928-09-26,-0.0004671805737856531
1928-09-27,-0.012697137725918135
1928-09-28,0.0004731488365130395
1928-10-01,0.010353127770071673
1928-10-02,-0.004692687994670444
1928-10-03,-0.0032979534415236928
